title	onet_code	onet_name	job_zone	company	city	state	description_all
Appointment Setter	43-4171.00	Receptionists and Information Clerks	2	Cornerstone Staffing	DALLAS	TX	"CornerStone Staffing is currently recruiting for the following position:\\n\\nJob Title: Appointment Setter\\n\\nLocation: Dallas, TX\\n\\nPay: $13-$15/hr + commission\\n\\nSchedule: Mon - Fri 8am-5pm\\n\\nJob Description:\\n\\n*\\n\\nWill be making at least 50+ calls per day.\\n\\n*\\n\\nSpeaking with apartment complexes about their residents and messaging systems, and seeing if they would be interested in learning more about their text marketing system.\\n\\n*\\n\\nWill be setting appointments to schedule a demo of their system.\\n\\n*\\n\\nNeeds to have with at least 2 years of sales experience\\n\\n*\\n\\nNeeds to be articulate and focused\\n\\n*\\n\\nCommission will be based on appointments set and percentage of sales\\n\\nTo Apply for this Job:\\n\\n1.\\n\\nClick the Apply Online button at the top of this page if you are on the CornerStone Staffing job board.\\n\\n2. Click this link to Apply with CornerStone Staffing if you are reading this job description on another job board: http://bit.ly..."
GARDEN CENTER SALES ASSOCIATE	41-2031.00	Retail Salespersons	2	Georgia Department of Labor	CLAYTON	GA	"None Given\\n \\n\\n \\n\\n \\nTemporary to permanent position responsible for providing customer service and assisting customer with purchasing decisions; locating merchandise, promoting new products and services while maintaining a safe working environment. Employee will operate and maintain the lawn and garden area and run cash register to process customers' purchases. Also required to order, receive and stock merchandise/supplies, complete related paperwork, logs and other documentation. Safely operate forklift or motor vehicle or other large power equipment. Background check and drug screen administered by the employer.\\n \\nHigh School Diploma or GED."
Warehouse Associate (all shifts) Job ID: JLS2204	43-5081.03	"Stock Clerks- Stockroom, Warehouse, or Storage Yard"	1	Hort-Assist	CHULA VISTA	CA	"Job Description Nestle is hiring! Join a winning team! We are seeking part time and full time Warehouse Associates to for our many production and manufacturing warehouses across the U.S. Become part of our team and work with some of America's greatest products such as Dreyer's Inc Cream, Purina Pet Food, Nestle Chocolate, NesCafe or NesQuik! Qualifications null Additional Information All your information will be kept confidential according to EEO guidelines."
Sales Retention Associate - TV Location	41-2031.00	Retail Salespersons	2	"Express Services, Inc"	SHREWSBURY	WV	"Sales Retention Associate needed for Evaluation to Hire position. Focusing on retention of business customers and a primary focus on phone customers in an effort to reduce churn. Person will call on existing customers who are either out of contract or close to being out of contract to offer special incentives to renew the agreement, add additional services, and even upgrade. Looking for someone with minimum 2 years sales experience. Prefer someone with a Telecommunications background and good phone sales presence. Pay based on experience, $12-$13 per hour. Position in the Teays Valley area."
"Cook, Line AM shift"	35-2011.00	"Cooks, Fast Food"	1	South Dakota State Government	SPEARFISH	SD	"Minimum age 18. AM shift 6 am - 2 pm, 40 hours per week, 5 days per week as scheduled. Must be able to cook eggs and omelets in saute' pans. 2 years years line cooking experience required. Working knowledge of breakfast as well as lunch items. Must be able to lift 20 pounds.\\nWage depends on experience.\\nWorksite Address Spearfish, SD 57783\\nBenefits Information"
Medical Records Technician (T69X)	29-2071.00	Medical Records and Health Information Technicians	2	Recruit GAAP Staffing	HOUSTON	TX	"With a local environment described as: Fun yet professional company, this company is searching in Houston, TX for a full time Medical Records Technician.  Recruit GAAP is searching for the right candidate who is proficient with the following skills, work experience or abilities: Organization, Being able to quickly learn the computer program used in  department, Getting  job done quickly and efficiently so that others can do their job. The right candidate will be able to successfully perform the primary roles and responsibilities of: Print, edit, collect and distribute transcription, Distribute documentation necessary for discharged patients to separate entities, Getting  job done quickly and efficiently so that others can do their job.  If a starting salary of up to $26 per Hour, great company benefits, and the described work environment appeals to you, then please consider applying for Job Code: T69X. Location: Houston, TX 77203. Salary: $26/Hour. Job Code: T69X"
Warehouse Associate (all shifts) Job ID: JLS187	43-5081.03	"Stock Clerks- Stockroom, Warehouse, or Storage Yard"	1	Hort-Assist	JACKSONVILLE	FL	"Job Description FedEx is seeking part time and full time Warehouse Associates to work flexible shifts across our distribution centers across the U.S. If you can handle freight, verify documents, repair damaged freight and assist customers, we have a great-paying experience for you! Qualifications null Additional Information All your information will be kept confidential according to EEO guidelines."
Postal Positions Now Available	43-5051.00	Postal Service Clerks	2	Veterans Vocations	NEW YORK CITY	NY	"Postal Workers Now Being Hired Across The Nation Job Postal Job Duties Include: Sort and collate mail. Place mail in proper buckets for distribution. Open envelopes. Dispose of junk mail. Date stamp all incoming mail. Sort mail such as returned letters, adjustments, bills, orders, and payments. Complete incorrect returned mail. Receive outgoing mail and apply correct postage. Arrange for pickup of outgoing mail. Stamp mail with postage meters. Some Requirements Include: High School Diploma Employees must be a United States citizen. Basic competency in English GET STARTED TODAY!"
Home Health Aide (NAC)	31-1011.00	Home Health Aides	2	Kittitas Valley Healthcare	ELLENSBURG	WA	"ORGANIZATIONAL FOCUS Kittitas Valley Healthcare expects all employees to uphold our Vision & Mission. The KVH Vision, Mission & Guiding Principles can be found at http://www.kvhealthcare.org... JOB SUMMARY The Home Health Aide provides patient care based on a written plan and instructions of the Registered Nurse or Physical Therapist in the event that nursing is not required in the care of t REQUIRED QUALIFICATIONS High School Diploma or equivalent Basic Nursing Assistant class; current Washington State NAC license Current CPR card (maintenance required) Seven hours of approved AIDS training Must have a current Washington State driver's license Must have automobile liability insurance Must have access to a reliable car for transportation to patient homes PREFER"
Customer Service Agent for company in the health industry- MUST speak FRENCH	43-4051.00	Customer Service Representatives	2	TRE	SALT LAKE CITY	UT	"Unicity International, the global leader in nutritional supplements, is seeking a part-time Customer Service Agent – French Speaking to join our world class Customer Service/Call Center department. In this position you will answer inbound calls, place orders, and resolve customer issues. Position is part-time, M-F, 25-28 hours per week. Two shifts are available: morning or afternoon (between 7 AM - 7 PM MST). Qualified candidates must be able to work with minimal supervision and have great phone and interpersonal skills. Must be able to read and speak French and English. To apply please email resume to employment@unicity.com. Please indicate the shift you are applying for. • Location: Orem, UT • Compensation: $11 per hour • This is a part-time job."
"Short Term Full Time Physical Therapy School Job Near Las Cruces, NM (38176987)"	31-2022.00	Physical Therapist Aides	2	Soliant Health	LAS CRUCES	NM	"Physical Therapy School Job\\n\\n* Full time (35 hours/week, M-F)\\n* South of Las Cruces, New Mexico\\n* 4 elementary schools, 1 middle school, 1 high school\\n* 3 month contract\\n* NM license required\\n* PTA encouraged to apply\\n* Pediatric experience required\\n* Eligible for full range of benefits\\n* Interviewing and hiring now!\\n\\nFor more information, call Nicole Garrett at 770-225-3160. Send resumes to nicole.garrett@soliant.com for consideration."
"Caregiver, HomeCare Aide"	39-9021.00	Personal Care Aides	2	Healthcare Staffing	PORT SAINT LUCIE	FL	"We are experienced professionals offering a great independent great independent, assisted living or memory care experience for our residents. We are dedicating our services to the local communities. Currently we have immediate job openings for Caregivers, Care Aides, Nurses, Medical Assistants and Dialysis Technicians. Position Requirements: - Desire and ability to provide high quality care to every client at all times- People who have a strong work ethic- Experience in this type of work is a plus- People with a strong commitment to team effort Qualifications: Education: High School Graduate or Equivalent preferred.We are looking for full-time, part-time and on-call staff that are able to work various shifts, weekdays and weekends. Good work ethics"
Lot Code Monitor	53-6021.00	Parking Lot Attendants	1	Volt Information Sciences	SAINT PAUL	MN	"Production company looking for candidates that will be responsible for locating and writing down the lot codes of each ingredient used on each line in every batch of cookies. Candidates must be okay with repetition. Accuracy and attention to detail are extremely important. Ideal candidates will possess legible penmanship for record keeping. This position also requires standing for 6-8 hours at a time. Volt is an equal opportunity employer. ## Job Requirements Legible handwriting Pays attention to detail Okay with repetition Warehouse/Inventory experience *Location:* US - MN - Saint Paul *Job Type:* Contingent/Temporary *Duration:* Temp to Hire *Pay Rate:* $11.00 /Hour *Job ID:* 300222-9996-7-351280 *Contact:* Volt Workforce Solutions 900 Long Lake Rd., Ste. 310 New Brighton, MN 55112 *Phone:* 651/633-0013 *Fax:* 651/633-6855 *Date Posted:* 6/29/2014"
Screw Machine Setup Operator	51-4034.00	"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic"	2	Nesco Resource	EUCLID	OH	"Searching for experienced Screw Machine Setup/Operators to work for a company that manufactures hydraulic fittings. Typical responsibilities would include:Operation of an Acme-Gridley Screw MachinePerforming setup on Acme-Gridley Screw MachineChecking parts using calipers and micrometersReading from blueprintsOpenings are on 1st or 2nd shift, with a starting pay range of $16-$19/hour.\\n \\n\\n \\nCandidates should have the following qualifications:Minimum of 1-2 years experience operating an Acme-Gridley Screw machineAbility to pass a criminal background checkReliable transportation"
Assistant Manager(07291) - 100 Accolades Dr	41-1011.00	First-Line Supervisors of Retail Sales Workers	2	Dominos Pizza	COLUMBIA	SC	"Job Duties- Operate all equipment. Stock ingredients from delivery area to storage, work area, walk in cooler. Prepare product. Receive and process telephone orders. Take inventory and complete associated paperwork. Clean equipment and facility daily. Communication Skills- Ability to comprehend and give correct written instructions. Ability to communicate verbilly with customers and co-workers to process orders both over the phone and in person. Essential Funtions/Skills- Ability to add, subtract, multiply, and divide accurately and quickly (may use calculator). Must be able to make correct monetary change. Verbal, writing and telephone skills to take and process orders. Motor coordination between eyes and hands/fingers to rapidly and accurately make precise movements with speed. Ability to enter orders using a computer keyboard or touch screen."
Shuttle Driver	53-3041.00	Taxi Drivers and Chauffeurs	1	"Country Inn & Suites by Carlson, Carlisle"	CARLISLE	PA	"Job Description We are looking for Shuttle Van Driver for our guests. Most of the trips are local with the occasional trip to Harrisburg airport. Our driver must be responsible and have a great personality, someone who truly loves working with the public. This position is part-time and is on an as-needed basis so a good deal of flexibility is required; it is a great opportunity for retirees. Candidates must possess a valid PA driver's license, have an excellent driving record and be able to pass a background check and drug screening. If you are interested please email the address provided with your resume or work history, and contact information. We look forward to your joining our great team! Qualifications null Additional Information All your information will be kept confidential according to EEO guidelines."
Sales Professional	41-2031.00	Retail Salespersons	2	Joseph Michaels	RIVER GROVE	IL	"WE ARE LOOKING FOR [link removed] SALES PROFESSIONAL OUTSTANDING SALES CAREER OPPORTUNITY!!! The sky is the limit, in this excellent career opportunity, for a dynamic sales professional. This .is an exceptional role for a dynamic, smart, self-starter, ready to appreciate a terrific boss, company and the lack of a ceiling with respect to earnings. You'll have all the tools to excel!!! Requirements: ...experience selling or maintaining accounts within the manufacturing industry ...preferable experience with relation to machines / gears / general machine manufacturing ...Hunter mentality ...proven success ...solid achievements with the repeat business sector On a rare occasion, there may be some overnight travel. Local Chicagoland candidates preferred. Solid benefits package. Given the ideal, client would like someone to join them with an already established book of business. If no book of business, base salary will be on the lower side."
home health	31-1011.00	Home Health Aides	2	RNDatabase	LAWRENCE	MA	"Homecare nurse will oversee and manage care for patients in their home. Will make roughly 30-32 visits per week performing assessments, medicine administration and on-going care for each of the patients in the caseload. Monday- Friday Flexible, yearly salary plus bonus. Bilingual a plus!"
FORKLIFT OPERATOR	53-7051.00	Industrial Truck and Tractor Operators	2	Kelly Services	DAKOTA	IL	"### Job Description Temp to Hire Positions Available!!! Looking for a sit down forklift driver, experience in RF Scanners and shipping and recieving is a plus. The position is a rotating 3rd shift position from 5:40pm-6am ROTATING SHIFT- 2 DAYS ON, 2 DAYS OFF $12.00/HR If you have recent Forklift experience with any order picking or loading/unloading trailers then PLEASE SEND RESUME OR CONTACT KELLY SERVICES IF INTERESTED. Positions are starting as soon as possible. *Job Reference #:* US6481AL_14178574 *Work Type:* Full Time *Employment Type:* Temp-to-Hire *Category:* Manufacturing/ Production/ Operations *Career Level:* Entry Level *Compensation:* Starting at $12.00 USD Per Hour *Location:* Dakota IL *Industry:* Manufacturing - Other *Highest Education:* High School - Diploma *% of Travel:* None *Date Posted:* 2 days ago *Shift/Hours:* Rotating"
Hiring All Restaurant Positions - Servers - Cooks - Bartenders	35-3021.00	"Combined Food Preparation and Serving Workers, Including Fast Food"	1	Seasons 52	MEADOWBROOK	AL	"At Seasons 52, we are passionate about great service, excellent food and wine, and celebrating living well. We are looking for talented team members who share our passion to operate a professional, guest-oriented business. In turn, we offer a great career with potential for increasing opportunities as we expand our national presence. If you share our commitment to excellence, we invite you to be a part of our award-winning restaurant group. Now Hiring in Birmingham: Servers • Hosts/Hostesses • Bartenders Line Chefs • Prep Cooks • Stewards As part of Darden Restaurants, the largest company in casual dining, Seasons 52 offers one of the best benefits packages in the industry. If you have the drive to succeed and share our passion for great food, wine and service, Seasons 52 is the place for you. EOE."
Telephone Operator	43-2021.00	Telephone Operators	2	Crozer-Keystone Health System	MEDIA	PA	"Telephone OperatorDepartment: TelecommunicationsSchedule: Per-diem (as needed)Shift: Rotating ShiftHours: all shiftsJob Details: - High school diploma or equivalent is required- 1-2 years experience requiredMust have previous telecommunications experience, healthcare preferred. Available to work any shift including nights, weekends and holidays."
Customer Service Representative - General Openings	43-9041.01	Insurance Claims Clerks	2	Diebold	CANTON	OH	"Please note that there is currently no open requisition for this position. This particular posting is a `pipeline' job posting; it has been created in an effort to help identify perspective candidates interested in being considered for positions such as this one as they become available. By submitting your profile to this requisition, you are not formally applying for an open position with Diebold, Incorporated; rather you are indicating an interest in being contacted when roles like this do become open. Qualifications: Diebold, Inc. is an Equal Opportunity Employer"
Front Desk Associate	43-4081.00	"Hotel, Motel, and Resort Desk Clerks"	2	Gold's Gym - SoCal	CULVER CITY	CA	"Front Desk Associate The Front Desk Associate will greet and direct members, guests and staff as they enter the gym. This position will provide assistance to members along with inquiries about gym operations and policies, as well as perform various administrative duties. This detail-oriented..."
"Receptionist #1373, PRN Sherif"	43-4171.00	Receptionists and Information Clerks	2	Community Health Systems	HOBBS	NM	"Receptionist #1373, PRN Sherif-1451373 ## Description Responsible for greeting, registering patients and verifying accuracy of patient demographic information. Within the context of this position, employees are expected to display helpful and pleasant behavior. ## Qualifications Edcuation: * High School diploma or GED Experience: * One year of receptionist or clerical experience preferred. * Previous experience with Microsoft Word and Excel preferred. *Job:* Clerical Support *Primary Location:* NM-Hobbs *Organization:* Pecos Valley of New Mexico-Hobbs *Employee Status:* Full-time *Shift:* Day Shift *Forecasted paid hours per shift:* 8 *Req ID:* 1451373"
"Receptionist #1373, PRN Sherif"	43-4171.00	Receptionists and Information Clerks	2	Community Health Systems Professional Services Corporation	HOBBS	NM	"Responsible for greeting, registering patients and verifying accuracy of patient demographic information.  Within the context of this position, employees are expected to display helpful and pleasant behavior.\\n\\nQualifications\\n\\nEdcuation:\\n\\n*\\nHigh School diploma or GED\\n\\nExperience:\\n\\n* One year of receptionist or clerical experience preferred.\\n* Previous experience with Microsoft Word and Excel preferred.\\n\\nJob\\nClerical Support\\n\\nPrimary Location\\nNM-Hobbs\\n\\nOrganization\\nPecos Valley of New Mexico-Hobbs\\n\\nWorking Location Dr. Sherif's office\\n\\nShift Day Shift\\n\\nForecasted paid hours per shift 8\\n\\nForecasted hours per pay week 40\\n\\nEmployee Status\\nFull-time"
VEN - Porter	39-6011.00	Baggage Porters and Bellhops	2	"BRE Properties, Inc"	GOLETA	CA	"Responsibilities:\\n\\nMaintain overall cleanliness and physical appearance of the property and unit appeal\\nMinor landscape maintenance where required, including plant care and litter removal\\nDaily testing of Pools and Spas, where required.  Maintenance of area surrounding pools and spas to ensure safety, cleanliness and comfort of our residents\\nTouch up painting of interior and exterior hard surfaces\\nAssist residents with service requests and follow up to ensure completion and quality\\n\\nQualifications:\\n\\nHigh School diploma or equivalent\\nSome custodial or general maintenance experience preferred\\nMust be able to meet the physical requirements of the job\\nMust be able to complete scheduled, routine tasks quickly and efficiently without supervision"
Heat Treat Opeartor	51-4191.00	"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic"	2	United Technologies Corporation	SPRINGDALE	AR	"Operate vacuum furnaces and other heat-treatment processes. Assist in the design and implementation of continuous improvement of heat-treating processes including the use of vacuum furnaces, new equipment and procedures. Prepare components for heat-treating cycles and operate furnaces. Ensure processes operate according to quality standards and are accurately recorded on appropriate documents.Business Unit: Pratt & Whitney"
